色分類,L*,a*,b*
グレー,63.6,0.51,-1.32
グレー,44.47,0.51,-1.42
黒,25.05,-0.26,0.51
グレー,79.53,4.51,7.16
ナチュラル,92.9,-0.43,15.4
ピンク,87.4,11.79,13.35
ピンク,80.72,12.58,-2.77
青,86.4,-1.96,-7.77
紫,66.11,3.55,-17.23
青,69.3,-6.69,-14.59
青,75.68,-17.43,-0.28
緑,80.32,-11.34,15.98
緑,79.78,-3.12,34.69
緑,86.66,-11.24,64.21
黄色,89.06,-1.58,79.49
黄色,80.49,15.41,78.26
オレンジ,69.95,25.41,62.98
紫,45.98,2.62,-24.67
緑,75.7,-18.28,59.16
緑,53.25,-7.52,6.7
茶,44.12,4.27,10.63
茶,44.16,18.1,8.82
白,96.18,-0.15,5.73
高白色,96.51,2.1,-10.75
高白色,99.64,2.09,-11.31
白,97.76,-0.19,2.94
ナチュラル,94.49,0.37,16.52
高白色,99.36,1.88,-9.63
高白色,97.62,-0.32,3.73
白,97.05,-0.68,7.68
高白色,98.78,2.94,-12.33
高白色,98.86,3.08,-11.67
高白色,98.55,2.92,-10
白,96.15,-0.2,4.13
ナチュラル,92.58,0.1,15.45
ナチュラル,94.5,-0.63,15.02
ナチュラル,93.76,0.97,16.36
黄色,91.56,1.66,24.92
高白色,96.01,1.99,-7.38
高白色,94.44,1.47,-10.43
高白色,96.28,1.36,-4.59
高白色,95.43,1.58,-5.2
高白色,97.8,1.59,-11.24
高白色,93.68,1.76,-4.04
白,96.6,0.93,2.78
ナチュラル,95.42,0.91,5.95
白,94.29,1.32,-2.21
白,95.81,-0.12,4.7
高白色,96.03,2.11,-6.03
白,93.17,0.51,2.22
高白色,97.11,-0.28,4.27
白,96.84,-0.77,8.98
高白色,95.85,0.84,-4.24
白,96.65,0.09,2.52
高白色,97,1.71,-6.18
高白色,96.57,1.82,-6.73
高白色,96.58,1.93,-6.35
高白色,94.23,2.4,-11.85
高白色,94.86,2.32,-6.83
白,96.46,-0.17,5.21
ナチュラル,94.84,0.28,12.78
グレー,84.56,2.33,5.41
茶,85.89,2.74,13.23
ピンク,85.91,7.18,6.19
グレー,86.73,0.23,2.15
緑,83.72,-1.73,12.7
白,96.63,-0.36,4.7
白,96.94,-0.36,5.38
ナチュラル,94.52,1.14,9.41
ナチュラル,92.93,0.19,12.16
高白色,97.56,-0.13,2.39
オレンジ,87.4,3.49,20.61
白,96.87,-0.78,7.05
ナチュラル,94.11,-0.67,16.19
高白色,95.98,2.08,-3.37
白,96.06,-0.5,9.03
高白色,94.49,2.13,-4.86
白,92.74,0.55,13.01
ナチュラル,90.73,1.31,19.27
黒,28.81,-0.49,-1.57
茶,83.62,4.69,13.27
茶,45.47,3.7,8.8
ピンク,81.08,19.65,7.45
青,69.46,-6.88,-13.61
青,75.88,-17.48,0.18
黄色,80.63,17.1,74.09
赤,38.2,30.83,8.35
青,34.78,-2.01,-12.94
緑,44.63,-16.63,3.1
金,63.08,7.6,25.4
金,63.39,12.23,25.28
茶,67.61,7.92,26.41
緑,62.05,0.01,20.59
高白色,94.59,1.93,-3.6
金,76.68,2.63,13.78
金,73.26,3.92,30.13
金,87.38,6.61,24.13
金,77.29,6.19,55.97
金,73.75,16.76,53.22
茶,40.8,14.15,14.25
高白色,93.81,1.93,-8.47
高白色,92.77,0.64,1.27
銀,80.03,-0.51,-2.05
黒,33.23,0.01,-1.83
グレー,88.94,-0.85,1.91
グレー,87.32,-0.06,1.36
ピンク,91.03,5.86,10.01
青,86.69,-7.89,-0.73
ピンク,83.87,18.76,4.21
金,81.08,9.49,42.38
金,55.93,9.1,28.86
茶,56.19,21.83,28.86
赤,45.35,43.75,15.03
青,38.89,-5.26,-13.15
茶,37.69,6.57,10.97
高白色,93.98,2.48,-5.37
銀,64.61,-1.73,-7.99
白,94.74,0.52,11.15
緑,80.89,-3.92,11
青,79.66,-9.43,-1.67
ピンク,50.04,31.22,-11.36
青,42.34,-1.45,-26.08
緑,46.22,-16.32,8.36
黄色,98.67,-32.38,62.07
ピンク,77.8,67.9,24.84
黄色,105.05,-33.07,101.23
赤,62.53,76.35,52.36
高白色,95.47,-0.29,5.08
銀,74.9,-0.69,-0.8
黒,37.99,-0.5,-2.54
金,58.1,8.45,24.32
茶,57.84,22.36,24.62
青,36.77,-3.81,-14.41
茶,47.5,7.83,9.42
銀,76.98,-0.49,-2
金,66.75,7.63,37.19
銀,86.78,-0.4,-0.29
金,75.21,6.76,46.28
銀,82.9,-0.4,0.02
銀,92.84,-0.46,-0.08
銀,93.77,-0.32,-0.42
金,88.66,-2.89,38.7
銀,92.43,-1.05,-1.23
金,87.5,-1.95,43.94
銀,92.7,0.24,-0.47
金,86.59,-2.14,41.62
